"","","","2018 [2018]","2018 [2018]","2018 [2018]","2018 [2018]","2019 [2019]","2019 [2019]","2019 [2019]","2019 [2019]","2020 [2020]","2020 [2020]","2020 [2020]","2020 [2020]"
"","","","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note"
"New Zealand [156]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","44,686.328722","International reliable sources","","US$","44,622.989778","International reliable sources","","US$","43,972.130573","International reliable sources",""
"Nicaragua [157]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,014.572705","International reliable sources","","US$","1,926.697992","International reliable sources","","US$","1,905.255197","International reliable sources",""
"Niger [158]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","570.724245","International reliable sources","","US$","554.099699","International reliable sources","","US$","567.669697","International reliable sources",""
"Nigeria [159]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,153.526494","International reliable sources","","US$","2,361.206967","International reliable sources","","US$","2,085.474061","International reliable sources",""
"North Macedonia [154]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,088.972568","International reliable sources","","US$","6,022.218418","International reliable sources","","US$","5,886.461037","International reliable sources",""
"Norway [162]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","81,866.392565","International reliable sources","","US$","75,389.62274","International reliable sources","","US$","66,870.730726","International reliable sources",""
"Oman [221]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","16,521.216491","International reliable sources","","US$","15,343.062004","International reliable sources","","US$","12,408.89814","International reliable sources",""
"Pakistan [165]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,338.888168","International reliable sources","","US$","1,168.643097","International reliable sources","","US$","1,167.216496","International reliable sources",""
"Palau [180]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","15,934.060367","International reliable sources","","US$","15,572.490338","International reliable sources","","US$","14,566.909639","International reliable sources",""
"Palestine [299]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,347.043037","International reliable sources","","US$","3,439.481112","International reliable sources","","US$","3,050.389559","International reliable sources",""
"Panama [166]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","15,544.723394","International reliable sources","","US$","15,727.970387","International reliable sources","","US$","12,269.045876","International reliable sources",""
"Papua New Guinea [168]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,813.728172","International reliable sources","","US$","2,829.139144","International reliable sources","","US$","2,639.883175","International reliable sources",""
"Paraguay [169]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","5,782.787088","International reliable sources","","US$","5,380.965632","International reliable sources","","US$","4,949.74413","International reliable sources",""
"Peru [170]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,957.788787","International reliable sources","","US$","7,027.686705","International reliable sources","","US$","6,162.698252","International reliable sources",""
"Philippines [171]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,252.108424","International reliable sources","","US$","3,485.342237","International reliable sources","","US$","3,298.830062","International reliable sources",""
"Poland [173]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","15,490.094258","International reliable sources","","US$","15,764.572193","International reliable sources","","US$","15,764.10583","International reliable sources",""
"Portugal [174]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","23,626.029325","International reliable sources","","US$","23,467.879341","International reliable sources","","US$","22,413.039839","International reliable sources",""
"Puerto Rico [177]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","33,203.425718","International reliable sources","","US$","35,765.430516","International reliable sources","","US$","36,051.590208","International reliable sources",""
"Qatar [179]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","65,907.948433","International reliable sources","","US$","62,088.061828","International reliable sources","","US$","50,814.93445","International reliable sources",""
"Republic of Korea [117]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","33,705.256943","International reliable sources","","US$","32,234.507491","International reliable sources","","US$","31,946.982511","International reliable sources",""
"Republic of Moldova [146]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,827.641046","International reliable sources","","US$","2,960.812844","International reliable sources","","US$","2,953.510884","International reliable sources",""
"Romania [183]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","12,378.497435","International reliable sources","","US$","12,903.993529","International reliable sources","","US$","12,928.580656","International reliable sources",""
"Russian Federation [185]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","11,372.277988","International reliable sources","","US$","11,567.996132","International reliable sources","","US$","10,165.505967","International reliable sources",""
"Rwanda [184]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","783.71435","International reliable sources","","US$","820.267328","International reliable sources","","US$","797.705403","International reliable sources",""
"Saint Kitts and Nevis [188]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","19,275.418513","International reliable sources","","US$","19,777.580052","International reliable sources","","US$","17,433.633186","International reliable sources",""
"Saint Lucia [189]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","11,353.770299","International reliable sources","","US$","11,591.403209","International reliable sources","","US$","8,804.664206","International reliable sources",""
"Saint Vincent and the Grenadines [191]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","7,361.334168","International reliable sources","","US$","7,457.509504","International reliable sources","","US$","7,298.372827","International reliable sources",""
"Samoa [244]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,256.22461","International reliable sources","","US$","4,298.591718","International reliable sources","","US$","3,889.997362","International reliable sources",""
"San Marino [192]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","48,996.723516","International reliable sources","","US$","47,732.772009","International reliable sources","","US$","45,832.199048","International reliable sources",""
"Sao Tome and Principe [193]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,968.249856","International reliable sources","","US$","2,002.423257","International reliable sources","","US$","2,174.047918","International reliable sources",""
"Saudi Arabia [194]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","23,337.019971","International reliable sources","","US$","23,139.798657","International reliable sources","","US$","20,110.315319","International reliable sources",""
"Senegal [195]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,458.069294","International reliable sources","","US$","1,430.148051","International reliable sources","","US$","1,457.990727","International reliable sources",""
"Serbia [272]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","7,214.957802","International reliable sources","","US$","7,364.953767","International reliable sources","","US$","7,655.695885","International reliable sources",""
"Seychelles [196]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","15,940.238604","International reliable sources","","US$","16,194.858316","International reliable sources","","US$","10,766.786689","International reliable sources",""
"Sierra Leone [197]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","533.99146","International reliable sources","","US$","527.533632","International reliable sources","","US$","474.692062","International reliable sources",""
"Singapore [200]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","65,300.910137","International reliable sources","","US$","64,503.102111","International reliable sources","","US$","58,114.245347","International reliable sources",""
"Sint Maarten (Dutch part) [280]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","23,355.322648","International reliable sources","","US$","25,569.490931","International reliable sources","","US$","20,000.092719","International reliable sources",""
"Slovakia [199]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","19,367.783123","International reliable sources","","US$","19,293.407518","International reliable sources","","US$","19,263.637523","International reliable sources",""
"Slovenia [198]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","26,067.295796","International reliable sources","","US$","26,064.403987","International reliable sources","","US$","25,777.396719","International reliable sources",""
"Solomon Islands [25]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,411.89837","International reliable sources","","US$","2,344.134222","International reliable sources","","US$","2,250.563757","International reliable sources",""
"Somalia [201]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","111.408564","International reliable sources","","US$","118.605674","International reliable sources","","US$","117.858871","International reliable sources",""
"South Africa [202]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,369.231608","International reliable sources","","US$","6,001.389576","International reliable sources","","US$","5,094.384038","International reliable sources",""
"South Sudan [277]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","737.38074","International reliable sources","","US$","1,486.36853","International reliable sources","","US$","1,420.710434","International reliable sources",""
"Spain [203]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","30,432.794294","International reliable sources","","US$","29,806.208566","International reliable sources","","US$","27,408.6349","International reliable sources",""
"Sri Lanka [38]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,143.579418","International reliable sources","","US$","3,938.847521","International reliable sources","","US$","3,767.606655","International reliable sources",""
"Sudan [276]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,156.977945","International reliable sources","","US$","815.060101","International reliable sources","","US$","1,415.243448","International reliable sources",""
"Suriname [207]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,547.736923","International reliable sources","","US$","6,840.885162","International reliable sources","","US$","7,022.767223","International reliable sources",""
"Sweden [210]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","55,703.523482","International reliable sources","","US$","53,194.436877","International reliable sources","","US$","53,574.552637","International reliable sources",""
"Switzerland [211]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","86,274.086579","International reliable sources","","US$","85,169.060062","International reliable sources","","US$","86,918.648293","International reliable sources",""
"Syrian Arab Republic [212]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,303.775531","International reliable sources","","US$","1,558.084651","International reliable sources","","US$","889.815247","International reliable sources",""
"Tajikistan [208]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","853.218444","International reliable sources","","US$","890.547995","International reliable sources","","US$","838.451016","International reliable sources",""
"Thailand [216]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","7,296.876574","International reliable sources","","US$","7,817.008104","International reliable sources","","US$","7,189.047989","International reliable sources",""
"Timor-Leste [176]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,249.139354","International reliable sources","","US$","1,583.714827","International reliable sources","","US$","1,442.727467","International reliable sources",""
"Togo [217]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","883.943315","International reliable sources","","US$","853.009121","International reliable sources","","US$","863.14473","International reliable sources",""
"Tonga [219]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,649.844824","International reliable sources","","US$","4,865.492154","International reliable sources","","US$","4,646.106308","International reliable sources",""
"Trinidad and Tobago [220]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","17,139.281653","International reliable sources","","US$","17,123.284319","International reliable sources","","US$","15,285.973254","International reliable sources",""
"Tunisia [222]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,438.848968","International reliable sources","","US$","3,351.535945","International reliable sources","","US$","3,318.333356","International reliable sources",""
"Turkey [223]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","9,454.407119","International reliable sources","","US$","9,121.483249","International reliable sources","","US$","8,538.131926","International reliable sources",""
"Turkmenistan [213]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,544.670362","International reliable sources","","US$","7,314.041637","International reliable sources","","US$","7,103.921926","International reliable sources",""
"Turks and Caicos Islands [224]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","29,554.70596","International reliable sources","","US$","31,353.329318","International reliable sources","","US$","23,880.543431","International reliable sources",""
"Tuvalu [227]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,180.37128","International reliable sources","","US$","4,652.228544","International reliable sources","","US$","4,648.342104","International reliable sources",""
"Uganda [226]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","797.249547","International reliable sources","","US$","852.014968","International reliable sources","","US$","846.116481","International reliable sources",""
"Ukraine [230]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,958.491927","International reliable sources","","US$","3,498.90483","International reliable sources","","US$","3,557.477356","International reliable sources",""
"United Arab Emirates [225]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","43,839.356349","International reliable sources","","US$","42,701.429934","International reliable sources","","US$","36,284.547906","International reliable sources",""
"United Kingdom of Great Britain and Northern Ireland [229]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","43,204.03168","International reliable sources","","US$","42,627.966539","International reliable sources","","US$","40,718.221814","International reliable sources",""
"United Republic of Tanzania [215]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,041.035526","International reliable sources","","US$","1,083.217052","International reliable sources","","US$","1,112.647575","International reliable sources",""
"United States of America [231]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","62,755.711992","International reliable sources","","US$","64,949.439748","International reliable sources","","US$","63,122.594145","International reliable sources",""
"Uruguay [234]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","18,703.91277","International reliable sources","","US$","17,688.012221","International reliable sources","","US$","15,438.401395","International reliable sources",""
"Uzbekistan [235]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,551.676137","International reliable sources","","US$","1,750.258925","International reliable sources","","US$","1,724.187748","International reliable sources",""
"Vanuatu [155]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,125.260145","International reliable sources","","US$","3,115.357712","International reliable sources","","US$","2,783.029644","International reliable sources",""
"Venezuela (Bolivarian Republic of) [236]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","7,063.484955","International reliable sources","","US$","5,264.842747","International reliable sources","","US$","3,740.287361","International reliable sources",""
"Viet Nam [237]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,566.447346","International reliable sources","","US$","2,715.275874","International reliable sources","","US$","2,785.724225","International reliable sources",""
"Yemen [249]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","803.648964","International reliable sources","","US$","865.726138","International reliable sources","","US$","937.382745","International reliable sources",""
"Zambia [251]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,516.391628","International reliable sources","","US$","1,305.06026","International reliable sources","","US$","985.132788","International reliable sources",""
"Zimbabwe [181]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,683.765768","International reliable sources","","US$","1,497.738092","International reliable sources","","US$","1,465.845054","International reliable sources",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
